Card Concept,Card Element/Type/Slot,Name,Supertype,Type,Subtype,Element,Cost,Dedication,Text,Strength,Defense,Mana,Territory Defense,Flavor Text,Element ID,Card Number,Rarity,Deckbuilding Points 185,@dedication_image,@rarity_icon,@frame,Card ID,Art ID,@card_image,Set,Subset,@set_symbol,Copyright Text,Landscape Name,Supertype,Type,Subtype,Landscape Text,Landscape Flavor Text,@Landscape_Dedication,Landscape Mana,Landscape Defense,@rarity_icon_landscape,@image_landscape,Landscape Copyright Text,Ben's Rating,Dan's Rating
"When this comes into play, you may put a Wilderness from your hand into play  (not counting against your single land for the turn).",Uncommon Earth Unit,Thylian Warspeaker,,Unit,Human Druid,Earth,5,2,"Whenever you summon an allied unit in a space adjacent to Thylian Warspeaker, that unit gains %Aggressive% until the end of the turn. ^(That unit may march, charge or attack the turn you summon it. Units in the same space are considered adjacent.)^",1,3,,,ßß^Man and beast alike speak the language of war.^,E,12,Uncommon,1,dedication_Earth_2.png,Uncommon.png,frame_Unit_Earth.psd,E012,16,016-Prime-Earth.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - E012",,,,,,,,,,,,,3,0
"Whenever this unit moves onto an opponent's territory, add 1 mana.",Uncommon Earth Unit,Inzaru Foragers,,Unit,Human Ranger,Earth,6,1,"Whenever Inzaru Foragers marches onto a territory controlled by an opponent, it adds {1} to your mana supply.",4,3,,,"ßß^""Those fools in Halia who say that control of the skies could provide a rain to wash us away should explain why, if they could control the weather, their deserts are still deserts.""ß— Geena, the Forestcaller^",E,13,Uncommon,1,dedication_Earth_1.png,Uncommon.png,frame_Unit_Earth.psd,E013,23,023-Prime-Earth.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - E013",,,,,,,,,,,,,,
Ranged unit with March +1,Rare Earth Unit,Thylian Ranger,,Unit,Elf Ranger,Earth,2,2,%Ranged% ^(This unit may attack units or territories up to one space away without moving.)^,2,3,,,,E,14,Rare,2,dedication_Earth_2.png,Rare.png,frame_Unit_Earth.psd,E014,51,051-Prime-Earth.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - E014",,,,,,,,,,,,,,
Steals movement and flying from enemy units,Rare Earth Unit,Skyreach Creeper,,Unit,Plant,Earth,3,2,"Enemy units adjacent to Skyreach Creeper lose Aggressive, Flying and Explorer.",0,2,,,ßß^What makes the proud eagle bow?^,E,15,Rare,2,dedication_Earth_2.png,Rare.png,frame_Unit_Earth.psd,E015,chase,prime-chase-Earth.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - E015",,,,,,,,,,,,,4,4
"Each time this unit moves, it gets stronger.",Rare Earth Unit,"Geena, the Forestcaller",Legendary,Unit,Human Druid,Earth,5,2,"%Ranged% ^(This unit may attack units or territories up to one space away without moving.)^ßßAt the end of your turn, if Geena, the Forestcaller has marched forward one or more spaces, put a +1/+1 counter on her.",2,2,,,"ßß^When she walks, the land walks with her.^",E,16,Rare,2,dedication_Earth_2.png,Rare.png,frame_Unit_Earth.psd,E016,archer,prime-archer-Earth.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - E016",,,,,,,,,,,,,4,0
This unit deals its attack to each adjacent enemy unit when attacking.,Rare Earth Unit,Inzaru Woodwraith,,Unit,Treefolk Spirit,Earth,7,2,"Pay {2}, £: Inzaru Woodwraith deals X{d6} damage to each adjacent enemy unit, where X is its Strength.",3,5,,,"ßß^""It signals the return of the gods! We can only hope to win their favor, lest we be crushed by their children!""ß— Akachi, Nephara prophet^",E,17,Rare,2,dedication_Earth_2.png,Rare.png,frame_Unit_Earth.psd,E017,wraith,prime-wraith-Earth.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - E017",,,,,,,,,,,,,3,0
"Each time this unit wins a battle, your other units may move 1 space.",Rare Earth Unit,Groundswell Therion,,Unit,Monster,Earth,8,2,"%Resilient% ^(This unit does not suffer defense penalties.)^ßßWhenever Groundswell Therion wins an attack, you may move all other units you control forward 1 space.",7,6,,,,E,18,Rare,2,dedication_Earth_2.png,Rare.png,frame_Unit_Earth.psd,E018,10,010-Prime-Earth.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - E018",,,,,,,,,,,,,3,0
Beast Within,Common Earth Spell,Bear Form,Tactical,Spell,Alteration,Earth,1,1,"Target unit becomes a 3/3 until the end of the turn. ^(Any other spells, effects or counters modifying that unit's Strength or Defense still apply.)^",,,,,"ßß^Quickly dispatching with his foes, Pik turned his mind to more important matters, like fish. And a long nap.^",E,19,Common,0,dedication_Earth_1.png,Common.png,frame_tactical_Spell_Earth.psd,E019,bears,prime-bears-Earth.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - E019",,,,,,,,,,,,,,
"Poison Dart - Deal 2d6 damage to target unit. 7/3/17: Added ""Draw a Card""",Common Earth Spell,Poison Dart,Tactical,Spell,Conjuration,Earth,2,1,Poison Dart deals 2{d6} damage to target unit. Draw a card.,,,,,"ßß^""You should consider yourself lucky if you ever even see your foe inside these borders.""ß— Arastiriel, Thylian Ranger^",E,20,Common,0,dedication_Earth_1.png,Common.png,frame_tactical_Spell_Earth.psd,E020,7,007-Prime-Earth.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - E020",,,,,,,,,,,,,0,0
Target unit gains additional Movement,Common Earth Spell,Wanderlust,Strategic,Spell,Enchantment,Earth,2,2,Ready target unit. That unit gains %March +1% until the end of the turn. ^(Units without Aggressive cannot march the turn you gain control of them.)^,,,,,,E,21,Common,0,dedication_Earth_2.png,Common.png,frame_Spell_Earth.psd,E021,23,023-Prime-Earth.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - E021",,,,,,,,,,,,,0,0
"Unit gets boost based on number of units you control7/3/17: Changed to Deep-root Resistance (Strategy)",Common Earth Strategy,Deep-root Resistance,,Strategy,Warfare,Earth,3,1,Territories you control have %Defense +1%.,,,,,"ßß^Nala's squad faced the opposition and drew their bows. She could feel the full, raw power of Inzaru coursing through the barracks.^",E,22,Common,0,dedication_Earth_1.png,Common.png,frame_Strategy_Earth.psd,E022,swarm,prime-swarm-Earth.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - E022",,,,,,,,,,,,,0,0
Deal x{d6} damage to target unit with flying.,Common Earth Spell,Stone's Throw,Strategic,Spell,Destruction,Earth,5,2,"Deal X{d6} damage to target unit, where X is equal to the number of unconquered territories you control.",,,,,,E,23,Common,0,dedication_Earth_2.png,Common.png,frame_Spell_Earth.psd,E023,32,032-Prime-Earth.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - E023",,,,,,,,,,,,,0,0
Return a card from your discard to your hand.,Uncommon Earth Tactic,Recycle,Tactical,Spell,Restoration,Earth,2,1,Return an Earth card from your discard to your hand.,,,,,"ßß^""If we have learned anything thus far, Sarien, it is that true nature will win in the end.""ß— Geena, the Forestcaller^",E,24,Uncommon,1,dedication_Earth_1.png,Uncommon.png,frame_tactical_Spell_Earth.psd,E024,3,003-Prime-Earth.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - E024",,,,,,,,,,,,,0,0
"Choose a territory type. Each unit you control has ""Explorer"" of the chosen territory type.",Uncommon Earth Spell,Moonlight Guidance,Tactical,Spell,Arcane,Earth,3,1,"^Beginning of Your Turn Only^ — Choose an element. Units you control gain %Explorer% for the chosen element until the end of the turn. ^(If a unit with Explorer begins the turn on a territory of the chosen type, they have March +1 until the end of the turn.)^",,,,,,E,25,Uncommon,1,dedication_Earth_1.png,Uncommon.png,frame_tactical_Spell_Earth.psd,E025,divination,prime-divination-Earth.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - E025",,,,,,,,,,,,,,
"Gives extra mana7/3/17: Changed to Beast Worship (strategy)",Uncommon Earth Strategy,Beast Worship,,Strategy,Ritual,Earth,4,2,"Whenever you summon a unit with Strength 5 or greater, draw a card.",,,,,"ßß^The therion's roar thundered through the canyon, striking fear and hope in the hearts of those who heard it.^",E,26,Uncommon,1,dedication_Earth_2.png,Uncommon.png,frame_Strategy_Earth.psd,E026,champion,prime-champion-Earth.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - E026",,,,,,,,,,,forest_earth.jpg,,0,0
Draw a card for each unit on a Wilderness,Uncommon Earth Spell,Sylvan Wisdom,Strategic,Spell,Divination,Earth,5,2,Draw a card for each territory you control with an Earth unit on it.,,,,,"ßß^At every corner of your realm, a new insight.^",E,27,Uncommon,1,dedication_Earth_2.png,Uncommon.png,frame_Spell_Earth.psd,E027,35,035-Prime-Earth.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - E027",,,,,,,,,,,,,0,0
Give a unit Strength +3 Defense +3 or move it,Rare Earth Spell,Fight or Flight,Strategic,Spell,Enchantment,Earth,2,1,Target unit you control gains %Strength +2% or %March +1% until the end of the turn.,,,,,"ßß^""I cannot say how you will respond to the potion, but I can say you should drink of it when times are most perilous.""ß— Jhanna, Inzaru Apothecary^",E,28,Rare,2,dedication_Earth_1.png,Rare.png,frame_Spell_Earth.psd,E028,warrior2,prime-warrior2-Earth.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - E028",,,,,,,,,,,,,0,0
Gain resources equal to the number of territories you control until the end of this turn.,Rare Earth Tactic,Mana Geyser,Strategic,Spell,Arcane,Earth,5,2,"Mana Geyser adds {X} to your mana supply, where X is equal to the number of unconquered territories you control.",,,,,,E,29,Rare,2,dedication_Earth_2.png,Rare.png,frame_Spell_Earth.psd,E029,26,026-Prime-Earth.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - E029",,,,,,,,,,,,,0,0
"Only Earth units may move onto this space.7/3/17: Changed to Sudden Evolution (Strategy)",Rare Earth Strategy,Sudden Evolution,,Strategy,Warfare,Earth,6,2,"Units you control with natural Strength and Defense both 2 or less get +3/+3. ^(A unit's natural strength is printed on the card. If it is *, it is considered to be zero.)^",,,~1,1,,E,30,Rare,2,dedication_Earth_2.png,Rare.png,frame_Strategy_Earth.psd,E030,hurl,prime-hurl-Earth.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - E030",,,,,,,,,,,forest_earth.jpg,,0,0
Target unit an opponent controls cannot move.,Rare Earth Spell,Constricting Overgrowth,Tactical,Spell,Destruction,Earth,5,2,"Deal 3{d6} damage to all enemy units on territories you control, then deplete the surviving units. Units depleted this way don't ready at the beginning of their controller's next turn.",,,,,"ßß^""The lashing vines tore at Wydden's flesh. Though I was inches away from her, I could not move to help.""ß— Anonymous journal entry^",E,31,Rare,2,dedication_Earth_2.png,Rare.png,frame_tactical_Spell_Earth.psd,E031,vines,prime-vines-Earth.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - E031",,,,,,,,,,,,,0,0
Wilderness,Common Earth Territory,Wilderness,Basic,Territory,Wilderness,Earth,,1,"^Wilderness adds {1} to your mana supply when you play it, and at the beginning of each of your turns. It provides 1 affiliation to Earth.^",,,~1,2,,E,32,Common,0,dedication_Earth_1.png,Common.png,frame_Territory_Earth.psd,E032,42,042-Prime-Earth.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - E032",Wilderness,Basic,Territory,Wilderness,"^Wilderness adds {1} to your mana supply when you play it, and at the beginning of each of your turns. It provides 1 affiliation to Earth.^",0,dedication_Earth_1.png,~1,2,Common.png,forest_earth.jpg,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - E032",0,0
Wilderness,Common Earth Territory,Wilderness,Basic,Territory,Wilderness,Earth,,1,"^Wilderness adds {1} to your mana supply when you play it, and at the beginning of each of your turns. It provides 1 affiliation to Earth.^",,,~1,2,,E,33,Common,0,dedication_Earth_1.png,Common.png,frame_Territory_Earth.psd,E033,wilderness,prime-wilderness-Earth.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - E033",Wilderness,Basic,Territory,Wilderness,"^Wilderness adds {1} to your mana supply when you play it, and at the beginning of each of your turns. It provides 1 affiliation to Earth.^",0,dedication_Earth_1.png,~1,2,Common.png,forest_earth.jpg,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - E033",0,0
Wilderness,Common Earth Territory,Wilderness,Basic,Territory,Wilderness,Earth,,1,"^Wilderness adds {1} to your mana supply when you play it, and at the beginning of each of your turns. It provides 1 affiliation to Earth.^",,,~1,2,,E,34,Common,0,dedication_Earth_1.png,Common.png,frame_Territory_Earth.psd,E034,wilderness2,prime-wilderness2-Earth.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - E034",Wilderness,Basic,Territory,Wilderness,"^Wilderness adds {1} to your mana supply when you play it, and at the beginning of each of your turns. It provides 1 affiliation to Earth.^",0,dedication_Earth_1.png,~1,2,Common.png,forest_earth.jpg,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - E034",0,0
Wilderness,Common Earth Territory,Wilderness,Basic,Territory,Wilderness,Earth,,1,"^Wilderness adds {1} to your mana supply when you play it, and at the beginning of each of your turns. It provides 1 affiliation to Earth.^",,,~1,2,,E,35,Common,0,dedication_Earth_1.png,Common.png,frame_Territory_Earth.psd,E035,42,042-Prime-Earth.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - E035",Wilderness,Basic,Territory,Wilderness,"^Wilderness adds {1} to your mana supply when you play it, and at the beginning of each of your turns. It provides 1 affiliation to Earth.^",0,dedication_Earth_1.png,~1,2,Common.png,forest_earth.jpg,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - E035",0,0
March +1 1-drop,Common Air Unit,Halian Vanguard,,Unit,Human Warrior,Air,1,1,Halian Vanguard may march the turn you summon it.,1,1,,,"ßß^Racing forth on steady mounts, Anabel's soldiers were renown for their speed and prowess.^",A,36,Common,0,dedication_Air_1.png,Common.png,frame_Unit_Air.psd,A036,charge,prime-charge-Air.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - A036",,,,,,,,,,,,,0,0
Costs 1 less if summoned at a Desert.,Common Air Unit,Scaleskin Bandit,,Unit,Lizard Warrior,Air,2,1,,3,1,,,ßß^The eastern road refugees brought out the eastern road bandits...^,A,37,Common,0,dedication_Air_1.png,Common.png,frame_Unit_Air.psd,A037,39,039-Prime-Air.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - A037",,,,,,,,,,,,,0,0
"toy bug that can hold a mana charge7/3/17: Changed to Treasure Seeker",Common Air Unit,Treasure Seeker,,Unit,Human Rogue,Air,2,1,"When you summon Treasure Seeker, draw a card, then discard a card.",2,1,,,"ßß^""There are more secrets buried beneath the sands than there are contained in your tomes, old man.""ß— Ryheem, Treasure Seeker^",A,38,Common,0,dedication_neutral_.png,Common.png,frame_Unit_Air.psd,E038,merchant,prime-merchant-Air.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - E038",,,,,,,,,,,,,0,0
Small unit with high range,Common Air Unit,Halian Skysquire,,Unit,Human Knight,Air,3,1,"%Flying% ^(This unit can march into and out of spaces occupied by enemy units)^.ßßPay {1}: Halian Skysquire gains %Dodge% until the end of the turn ^(whenever this unit makes a defense roll, if there are any doubles in the roll, double the result)^.",2,2,,,,A,39,Common,0,dedication_Air_1.png,Common.png,frame_Unit_Air.psd,A039,50,050-Prime-Air.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - A039",,,,,,,,,,,,,0,0
Move adjacent enemy unit when it comes into play.,Common Air Unit,Cyclonic Sage,,Unit,Human Wizard,Air,3,1,"%Flying% ^(This unit may march into and out of spaces occupied by enemy units.)^ßßWhen you summon Cyclonic Sage, you may move another target unit one space.",2,2,,,,A,40,Common,0,dedication_Air_1.png,Common.png,frame_Unit_Air.psd,A040,24,024-Prime-Air.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - A040",,,,,,,,,,,,,0,0
Vanilla medium,Common Air Unit,Scaleskin Nomad,,Unit,Lizard Warrior,Air,5,1,"%Air Explorer% ^(If this unit begins the turn on an Air territory, it gets March +1 until the end of the turn.)^",4,3,,,"ßß^""If the blistering heat, poisonous flora and arid winds weren't enough reason to stay out of the Zederi wastes, tack on the bands of roving scaleskin maniacs.""ß— Advance scout's report^",A,41,Common,0,dedication_Air_1.png,Common.png,frame_Unit_Air.psd,A041,23,023-Prime-Air.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - A041",,,,,,,,,,,,,0,0
Dust Elemental,Common Air Unit,Veiled Scorpion,,Unit,Insect,Air,4,2,"%Dodge% ^(Whenever this unit makes a defense roll, if there are any doubles in the roll, double the result.)^",1,4,,,ßß^Death dealt by a thousand stings before you can land one.^,A,42,Common,0,dedication_Air_2.png,Common.png,frame_Unit_Air.psd,A042,spider,prime-spider-Air.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - A042",,,,,,,,,,,,,,
Large vanilla,Common Air Unit,Zederi Wyrm,,Unit,Wyrm,Air,6,2,,5,4,,,"^""Locals like to say it's what taught the scarabs to fly.""ß— Elissa, Councillor of Merenthia^",A,43,Common,0,dedication_Air_2.png,Common.png,frame_Unit_Air.psd,A043,6,006-Prime-Air.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - A043",,,,,,,,,,,,,0,0
"Sacrifice this unit to alter your next attack roll.7/3/17: Changed to Hallowed Oracle - Lets you shuffle the top 3 cards of deck when you play a Divination spell",Uncommon Air Unit,Hallowed Oracle,,Unit,Human Shaman,Air,4,1,"Whenever you play a Divination spell, you may look at the top 3 cards of your deck and put them back in any order.",1,4,,,"ßß^""You pay to hear her portend all the great victories and acts of valor you're going to do. And I suppose you pay for the smoke and mirrors. But most importantly, you pay.""ß— Larktongue, the Bard^",A,44,Uncommon,1,dedication_Air_1.png,Uncommon.png,frame_Unit_Air.psd,A044,3,003-Prime-Air.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - A044",,,,,,,,,,,,,,
"Whenever a unit you control would be attacked, roll a die. On a 5 or 6, your unit attacks first.7/3/17: Simplified this to a standard clone.",Uncommon Air Unit,Uncanny Vision,,Unit,Illusion,Air,4,2,"As you summon Uncanny Vision, it becomes a copy of target unit. ^(It has the name, cost, attack, defense, elements and abilities of the card it copies. Treat the copy as though it was just summoned.)^",0,0,,,"ßß^There's blending in, and then there's^ blending in...",A,45,Uncommon,1,dedication_Air_2.png,Uncommon.png,frame_Unit_Air.psd,A045,41,041-Prime-Air.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - A045",,,,,,,,,,,,,0,0
French vanilla small (bird with flying),Uncommon Air Unit,Zephyr Falcon,,Unit,Bird,Air,4,2,%Flying% ^(This unit may march into and out of spaces occupied by enemy units.)^ßßZephyr Falcon may march the turn you summon it.,3,3,,,"ßß^Ripping through the air at incredible speeds, the only signal of their arrival is the crash of thunder following in their wake.^",A,46,Uncommon,1,dedication_Air_2.png,Uncommon.png,frame_Unit_Air.psd,A046,12,012-Prime-Air.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - A046",,,,,,,,,,,,,0,0
Griffon Rider - flying and high range,Uncommon Air Unit,Griffon Rider,,Unit,Human Warrior,Air,5,1,"%Air Explorer% ^(If this unit begins the turn on an Air territory, it gets March +1 until the end of the turn.)^ßß%Flying% ^(This unit may march into and out of spaces occupied by enemy units.)^ßß%Dodge% ^(Whenever this unit makes a defense roll, if there are any doubles in the roll, double the result.)^",5,3,,,,A,47,Uncommon,1,dedication_Air_1.png,Uncommon.png,frame_Unit_Air.psd,A047,slay,prime-slay-Air.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - A047",,,,,,,,,,,,,0,0
