Card Concept,Card Element/Type/Slot,Name,Supertype,Type,Subtype,Element,Cost,Dedication,Text,Strength,Defense,Mana,Territory Defense,Flavor Text,Element ID,Card Number,Rarity,Deckbuilding Points,@dedication_image,@rarity_icon,@frame,Card ID,Art ID,@card_image,Set,Subset,@set_symbol,Copyright Text,Landscape Name,Supertype,Type,Subtype,Landscape Text,Landscape Flavor Text,@Landscape_Dedication,Landscape Mana,Landscape Defense,@rarity_icon_landscape,@image_landscape,Landscape Copyright Text,Ben's Rating,Dan's Rating
Ranged aggressive unit.,Uncommon Earth Unit,Thylian Longbowman,,Unit,Human Archer,Earth,5,2,"%Ranged% ^(This unit may attack units or territories up to one space away.)^§§%Aggressive% ^(This unit can move, attack or advance the turn you summon it.)^",3,2,,,,E,11,Uncommon,1,dedication_Earth_2.png,Uncommon.png,frame_Unit_Earth.psd,E11,16,016-Prime-Earth.png,Witchhunt,,Witchhunt.png,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - E11",,,,,,,,,,,,,,
"Resilient. When this unit enters the battlefield or wins an attack, put a +1/+1 counter on it.",Rare Earth Unit,Greatheart Wolfrider,,Unit,Human Ranger,Earth,4,1,"%Resilient% ^(This unit does not suffer defense penalties.)^§§%Hallowed% Ñ When you summon Greatheart Wolfrider or she wins an attack, put a +1/+1 counter on Greatheart Wolfrider.",2,3,,,,E,12,Rare,2,dedication_Earth_1.png,Rare.png,frame_Unit_Earth.psd,E12,23,023-Prime-Earth.png,Witchhunt,,Witchhunt.png,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - E12",,,,,,,,,,,,,,
"Earth territories you control have Defense +X, where X is equal to the number of your territories that have been conquered.",Rare Earth Unit,"Loren Onari, Defender of the Cherished",Legendary,Unit,Human Cleric,Earth,4,2,"Territories you control have %Defense +X%, where X is equal to the number of your territories that have been conquered.",4,4,,,"§§^""My master appointed me as Defender of the First Tennet. I plan to defend it with every arrow, every spear, every tooth and every claw.""^",E,13,Rare,2,dedication_Earth_2.png,Rare.png,frame_Unit_Earth.psd,E13,51,051-Prime-Earth.png,Witchhunt,,Witchhunt.png,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - E13",,,,,,,,,,,,,,
"Ranged, Adjacent units have ranged. When this unit wins an attack or dies, target unit you control gets +2/+2 until the end of the turn.",Rare Earth Unit,Onari Huntress,,Unit,Human Ranger,Earth,6,2,"%Ranged%§§Adjacent units you control have %Ranged.%§§%Persecuted% Ñ Whenever Onari Huntress wins an attack or dies, target unit you control gets +2/+2 until the end of the turn.",2,2,,,,E,14,Rare,2,dedication_Earth_2.png,Rare.png,frame_Unit_Earth.psd,E14,41,041-Prime-Earth.png,Witchhunt,,Witchhunt.png,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - E14",,,,,,,,,,,,,,
"When it comes into play, reveal the top 5 cards in your deck. If you reveal a unit in this way, you may draw it and put X +1/+1 counters on this, where X is that unit's casting cost. Put the remaining cards on the bottom of your deck in any order.",Rare Earth Unit,Spirit of the Wood,,Unit,Elemental Spirit,Earth,7,2,"When you summon Spirit of the Wood, if you played it from your hand, look at the top 5 cards of your deck. You may reveal a unit card from among them. If you do, put X +1/+1 counters on Spirit of the Wood, where X is the revealed unit's mana cost. Then, draw that card, and put the other cards on the bottom of your deck in any order.",1,1,,,,E,15,Rare,2,dedication_Earth_2.png,Rare.png,frame_Unit_Earth.psd,E15,36,036-Prime-Earth.png,Witchhunt,,Witchhunt.png,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - E15",,,,,,,,,,,,,,
Destroy target hex or charm,Common Earth Spell,Deglamer,Tactical,Spell,Negation,Earth,1,1,Destroy target charm.,,,,,,E,16,Common,0,dedication_Earth_1.png,Common.png,frame_tactical_Spell_Earth.psd,E16,22,022-Prime-Earth.png,Witchhunt,,Witchhunt.png,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - E16",,,,,,,,,,,,,,
Remove a unit in a discard from the game to draw a card.,Common Earth Spell,Wisdom of Ancestors,Tactical,Spell,Necromancy,Earth,1,1,"As an additional cost to play Wisdom of Ancestors, banish a card in your discard.§§Draw a card.",,,,,"§§^""The Greatheart says this power is evil. I have talked with my father, and his father, and his father before him tonight. There is no evil in this, only beauty.""§Ñ Drennai, Onari Convert^",E,17,Common,0,dedication_Earth_1.png,Common.png,frame_tactical_Spell_Earth.psd,E17,10,010-Prime-Earth.png,Witchhunt,,Witchhunt.png,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - E17",,,,,,,,,,,,,,
Look at the top 4 cards of your deck. You may reveal a territory card from among them and draw it. Put the remaining cards in your discard.,Common Earth Spell,Hunt of the Greatheart,Strategic,Spell,Divination,Earth,2,1,"Look at the top 4 cards of your deck. You may reveal a territory card from among them and draw it, then put the remaining cards in your discard.",,,,,"§§^Elves of the Greatheart left no stone, leaf or twig unturned in their pursuit of the heretics.^",E,18,Common,0,dedication_Earth_1.png,Common.png,frame_Spell_Earth.psd,E18,19,019-Prime-Earth.png,Witchhunt,,Witchhunt.png,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - E18",,,,,,,,,,,,,,
charm - Earth unit gets +3/+3,Common Earth Spell,Stone Armor,Charm,Spell,Alteration,Earth,4,1,Charm target Earth unit. Charmed unit gains +3/+3.,,,,,,E,19,Common,0,dedication_Earth_1.png,Common.png,frame_Spell_Earth.psd,E19,7,007-Prime-Earth.png,Witchhunt,,Witchhunt.png,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - E19",,,,,,,,,,,,,,
The next unit you play this turn has Aggressive.,Uncommon Earth Strategy,Predator's Lure,Strategic,Spell,Enchantment,Earth,2,1,"The next unit you play this turn has %Aggressive% ^(it may move, attack or advance the turn you summon it)^.",,,,,,E,20,Uncommon,1,dedication_Earth_1.png,Uncommon.png,frame_Spell_Earth.psd,E20,23,023-Prime-Earth.png,Witchhunt,,Witchhunt.png,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - E20",,,,,,,,,,,,,,
hex - this unit must move every turn,Uncommon Earth Spell,Peregrination,Charm,Spell,Hex,Earth,2,1,Charm target unit. Charmed unit must move each turn if able.,,,,,,E,21,Uncommon,1,dedication_Earth_1.png,Uncommon.png,frame_Spell_Earth.psd,E21,7,007-Prime-Earth.png,Witchhunt,,Witchhunt.png,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - E21",,,,,,,,,,,,,,
"Name a card type, then reveal the top X cards of your deck. You may draw a card of the revealed type, then put the rest of the revealed cards on the bottom of your deck in any order.",Uncommon Earth Spell,Journeyman's Cache,Strategic,Spell,Divination,Earth,X+2,2,"Name a card type, then look at the top X cards of your deck. You may reveal a card from among them of the chosen type and draw that card. Then put the remaining cards on the bottom of your deck in any order. ^(The card types are unit, spell, relic and territory.)^",,,,,,E,22,Uncommon,1,dedication_Earth_2.png,Uncommon.png,frame_Spell_Earth.psd,E22,32,032-Prime-Earth.png,Witchhunt,,Witchhunt.png,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - E22",,,,,,,,,,,,,,
"Charm - each time charmed unit moves, if it moves to a territory you control, add +1 mana to your mana supply.",Uncommon Earth Spell,Naturebond,Charm,Spell,Alteration,Earth,3,1,"Charm target unit you control. Each time charmed unit moves, if it moves to a territory you control, add 1 mana to your mana supply.",,,,,,E,23,Uncommon,1,dedication_Earth_1.png,Uncommon.png,frame_Spell_Earth.psd,E23,3,003-Prime-Earth.png,Witchhunt,,Witchhunt.png,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - E23",,,,,,,,,,,,,,
hex - unit cannot move if it is on a Wilderness.,Rare Earth Spell,Rootbind Curse,Charm,Spell,Hex,Earth,2,1,Charm target unit. Charmed unit cannot move if it is on a Wilderness.,,,,,,E,24,Rare,2,dedication_Earth_1.png,Rare.png,frame_Spell_Earth.psd,E24,16,016-Prime-Earth.png,Witchhunt,,Witchhunt.png,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - E24",,,,,,,,,,,,,,
"Mortal combat - target unit you control gains counterattack until the end of the turn. It attacks an adjacent target enemy unit. If that enemy unit survives, it gains counterattack until the end of the turn. (These units continue fighting until one dies.)",Rare Earth Spell,Mortal Combat,Strategic,Spell,Enchantment,Earth,3,1,Target unit you control and target adjacent enemy unit each gain %Counterattack% until the end of the turn. Your unit attacks the adjacent unit. ^(These units continue fighting until one dies.)^,,,,,,E,25,Rare,2,dedication_Earth_1.png,Rare.png,frame_Spell_Earth.psd,E25,35,035-Prime-Earth.png,Witchhunt,,Witchhunt.png,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - E25",,,,,,,,,,,,,,
"hunter within - put X +1/+1 counters on target unit, where X is its strength",Rare Earth Spell,Awaken the Hunter,Strategic,Spell,Enchantment,Earth,4,2,"Put X +1/+1 counters on target unit, where X is its Strength.",,,,,,E,26,Rare,2,dedication_Earth_2.png,Rare.png,frame_Spell_Earth.psd,E26,39,039-Prime-Earth.png,Witchhunt,,Witchhunt.png,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - E26",,,,,,,,,,,,,,
Wilderness,Common Earth Territory,Wilderness,Basic,Territory,Wilderness,Earth,,1,"^Wilderness adds 1 mana to your mana supply when you play it, and at the beginning of each of your turns. It provides 1 affiliation to Earth.^",,,~1,2,,E,27,Common,0,dedication_Earth_1.png,Common.png,frame_Territory_Earth_Basic.psd,E27,26,026-Prime-Earth.png,Witchhunt,,Witchhunt.png,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - E27",Wilderness,Basic,Territory,Wilderness,"^Wilderness adds 1 mana to your mana supply when you play it, and at the beginning of each of your turns. It provides 1 affiliation to Earth.^",,dedication_Earth_1.png,~1,2,Common.png,forest_earth.jpg,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - E27",,
Wilderness,Common Earth Territory,Wilderness,Basic,Territory,Wilderness,Earth,,1,"^Wilderness adds 1 mana to your mana supply when you play it, and at the beginning of each of your turns. It provides 1 affiliation to Earth.^",,,~1,2,,E,28,Common,0,dedication_Earth_1.png,Common.png,frame_Territory_Earth_Basic.psd,E28,28,028-Prime-Earth.png,Witchhunt,,Witchhunt.png,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - E28",Wilderness,Basic,Territory,Wilderness,"^Wilderness adds 1 mana to your mana supply when you play it, and at the beginning of each of your turns. It provides 1 affiliation to Earth.^",,dedication_Earth_1.png,~1,2,Common.png,forest_earth.jpg,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - E28",,
Wilderness,Common Earth Territory,Wilderness,Basic,Territory,Wilderness,Earth,,1,"^Wilderness adds 1 mana to your mana supply when you play it, and at the beginning of each of your turns. It provides 1 affiliation to Earth.^",,,~1,2,,E,29,Common,0,dedication_Earth_1.png,Common.png,frame_Territory_Earth_Basic.psd,E29,42,042-Prime-Earth.png,Witchhunt,,Witchhunt.png,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - E29",Wilderness,Basic,Territory,Wilderness,"^Wilderness adds 1 mana to your mana supply when you play it, and at the beginning of each of your turns. It provides 1 affiliation to Earth.^",,dedication_Earth_1.png,~1,2,Common.png,forest_earth.jpg,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - E29",,
Wilderness,Common Earth Territory,Wilderness,Basic,Territory,Wilderness,Earth,,1,"^Wilderness adds 1 mana to your mana supply when you play it, and at the beginning of each of your turns. It provides 1 affiliation to Earth.^",,,~1,2,,E,30,Common,0,dedication_Earth_1.png,Common.png,frame_Territory_Earth_Basic.psd,E30,42,042-Prime-Earth.png,Witchhunt,,Witchhunt.png,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - E30",Wilderness,Basic,Territory,Wilderness,"^Wilderness adds 1 mana to your mana supply when you play it, and at the beginning of each of your turns. It provides 1 affiliation to Earth.^",,dedication_Earth_1.png,~1,2,Common.png,forest_earth.jpg,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - E30",,
"Cycle- if charmed, gets a bonus",Common Air Unit,Zederi Explorer,,Unit,Human Warrior,Air,1,1,"If Zederi Explorer is charmed, it gets +1/+1 and has %Movement +1%.",1,1,,,,A,31,Common,0,dedication_Air_1.png,Common.png,frame_Unit_Air.psd,A31,42,042-Prime-Air.png,Witchhunt,,Witchhunt.png,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - A31",,,,,,,,,,,,,,
"Quicksand elemental, when this unit dies, deplete the unit that killed it.",Common Air Unit,Zederi Sandworm,,Unit,Elemental,Air,1,1,"%Persecuted% Ñ When you summon Zederi Sandworm or is defeated in battle, you may deplete target unit.",1,1,,,§§^Marching through the Zederi Desert is difficult enough when the ground itself isn't trying to kill you.^,A,32,Common,0,dedication_Air_1.png,Common.png,frame_Unit_Air.psd,A32,42,042-Prime-Air.png,Witchhunt,,Witchhunt.png,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - A32",,,,,,,,,,,,,,
cloud elemental - undercosted guy that gets sacrificed if it gets targeted by a spell.,Common Air Unit,Wisp Elemental,,Unit,Elemental,Air,2,2,"%Flying% ^(This unit may move into and out of spaces occupied by enemy units.)^§§When Wisp Elemental becomes the target of a spell or ability, sacrifice it.",3,3,,,"§§^A little magic to create it, a little more to destroy it.^",A,33,Common,0,dedication_Air_2.png,Common.png,frame_Unit_Air.psd,A33,42,042-Prime-Air.png,Witchhunt,,Witchhunt.png,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - A33",,,,,,,,,,,,,,
"When this unit enters the battlefield or wins an attack, move target unit (Speaker)",Common Air Unit,Speaker of Action,,Unit,Scaleskin Cleric,Air,4,1,"%Hallowed% Ñ When you summon Speaker of Action or he wins an attack, move target unit.",3,1,,,,A,34,Common,0,dedication_Air_1.png,Common.png,frame_Unit_Air.psd,A34,42,042-Prime-Air.png,Witchhunt,,Witchhunt.png,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - A34",,,,,,,,,,,,,,
4/2 with rally 4,Common Air Unit,Camelbound Raider,,Unit,Human Warrior,Air,5,1,%Rally% {4} ^(You may pay {4} to advance or attack against the same unit again after failing an attack. A unit may Rally only once per turn.)^,4,2,,,,A,35,Common,0,dedication_Air_1.png,Common.png,frame_Unit_Air.psd,A35,15,015-Prime-Air.png,Witchhunt,,Witchhunt.png,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - A35",,,,,,,,,,,,,,
"Large unit, can't attack unless you pay mana.",Common Air Unit,Coiled Sandviper,,Unit,Reptile,Air,6,1,Coiled Sandviper cannot attack or advance unless you pay {4}.,5,5,,,,A,36,Common,0,dedication_Air_1.png,Common.png,frame_Unit_Air.psd,A36,39,039-Prime-Air.png,Witchhunt,,Witchhunt.png,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - A36",,,,,,,,,,,,,,
"When this unit wins an attack or dies, put a +1/+1 counter on each unit with flying you control.",Uncommon Air Unit,Dreadwing Knight,,Unit,Human Knight,Air,5,2,"%Flying%§§%Persecuted% Ñ When Dreadwing Knight wins an attack or dies, you may put a +1/+1 counter on each unit with %Flying% you control.",2,2,,,,A,37,Uncommon,1,dedication_Air_2.png,Uncommon.png,frame_Unit_Air.psd,A37,50,050-Prime-Air.png,Witchhunt,,Witchhunt.png,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - A37",,,,,,,,,,,,,,
"Rescue unit, cheap flyer with dodge",Uncommon Air Unit,Halian Gusthawk,,Unit,Bird,Air,6,1,"%Flying%, %Dodge% ^(Whenever this unit rolls for defense, if there are doubles in the roll, it wins the defense.)^§§%Rescue% {3}{A} ^(Put this unit into play in the same space as a unit you control that is being attacked, and assign the attacking unit to this. Play this ability only if you control an Air territory.)^",3,2,,,,A,38,Uncommon,1,dedication_Air_1.png,Uncommon.png,frame_Unit_Air.psd,A38,24,024-Prime-Air.png,Witchhunt,,Witchhunt.png,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - A38",,,,,,,,,,,,,,
"Flying, when this unit cip or wins an attack, each player banishes the top 2 cards in their deck.",Uncommon Air Unit,Halian Hunter,,Unit,Human Warrior,Air,5,2,"%Flying%§§%Hallowed% Ñ When you summon Halian Hunter or she wins an attack, deal 6 damage to target enemy unit.",2,2,,,,A,39,Uncommon,1,dedication_Air_2.png,Uncommon.png,frame_Unit_Air.psd,A39,23,023-Prime-Air.png,Witchhunt,,Witchhunt.png,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - A39",,,,,,,,,,,,,,
Illusionist legend that creates copies of itself,Rare Air Unit,"S'vessh, the Illusionist",Legendary,Unit,Scaleskin Wizard,Air,2,2,"If S'vessh, the Illusionist would attack or advance, put a 3/0 Scaleskin Illusion unit token into play attacking or advancing instead.§§When S'vessh, the Illusionist dies, banish all Scaleskin Illusion tokens.",3,2,,,"§§^""Light and Shadow are shallow substitutes for a little old-fashioned Cloak and Dagger.""^",A,40,Rare,2,dedication_Air_2.png,Rare.png,frame_Unit_Air.psd,A40,25,025-Prime-Air.png,Witchhunt,,Witchhunt.png,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - A40",,,,,,,,,,,,,,
"Each time this unit moves adjacent to an enemy unit, you may move that unit unless that unit's owner pays {2}.",Rare Air Unit,"Erenai, Exploiter of the Fragile",Legendary,Unit,Human Cleric,Air,6,2,"Whenever Erenai, Exploiter of the Fragile comes under your control or moves adjacent to an enemy unit, if that unit has less Strength, you may move it. Otherwise, you may move it unless its controller pays {2}.",6,4,,,"§§^""The Second Tennet of Ix is the fragility of life. The world respects only strength; the meek shall be culled.""^",A,41,Rare,2,dedication_Air_2.png,Rare.png,frame_Unit_Air.psd,A41,6,006-Prime-Air.png,Witchhunt,,Witchhunt.png,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - A41",,,,,,,,,,,,,,
Remove a unit in a discard pile from the game when this comes into play. This unit is a copy of that unit.,Rare Air Unit,Illusory Apparition,,Unit,Illusion,Air,4,1,"When you summon Illusory Apparition, you may banish a unit in your discard pile. If you do, Illusory Apparition becomes a copy of that unit.",0,1,,,,A,42,Rare,2,dedication_Air_1.png,Rare.png,frame_Unit_Air.psd,A42,3,003-Prime-Air.png,Witchhunt,,Witchhunt.png,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - A42",,,,,,,,,,,,,,
charm - Air unit gains flying and +1/+1,Common Air Spell,Zephyr Wings,Charm,Spell,Alteration,Air,2,1,Charm target Air unit. Charmed unit gains %Flying% and +1/+1. ^(Units with Flying can move into and out of spaces occupied by enemy units.)^,,,,,,A,43,Common,0,dedication_Air_1.png,Common.png,frame_Spell_Air.psd,A43,41,041-Prime-Air.png,Witchhunt,,Witchhunt.png,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - A43",,,,,,,,,,,,,,
charm - unit can't be attacked by units without Flying.,Common Air Spell,Lightchaser's Gift,Charm,Spell,Conjuration,Air,4,2,Charm target unit. Charmed unit gains %Flying% cannot be attacked by units without Flying. ^(Units with Flying can move into and out of spaces occupied by enemy units.)^,,,,,,A,44,Common,0,dedication_Air_2.png,Common.png,frame_Spell_Air.psd,A44,12,012-Prime-Air.png,Witchhunt,,Witchhunt.png,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - A44",,,,,,,,,,,,,,
"Banish a unit in a discard, target unit gains +1 movement.",Common Air Spell,Unearthed Motivation,Tactical,Spell,Necromancy,Air,1,1,"As an additional cost to play Unearthed Motivation, banish a card in your discard.§§Target unit gains %Movement +1% until the end of the turn.",,,,,,A,45,Common,0,dedication_Air_1.png,Common.png,frame_tactical_Spell_Air.psd,A45,50,050-Prime-Air.png,Witchhunt,,Witchhunt.png,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - A45",,,,,,,,,,,,,,
"Counter target spell with cost X or less, where X is the number of deserts you control.",Common Air Spell,Buried Power,Tactical,Spell,Negation,Air,2,2,"Counter target attempted spell with cost X or less, where X is the number of Deserts you control.",,,,,,A,46,Common,0,dedication_Air_2.png,Common.png,frame_tactical_Spell_Air.psd,A46,6,006-Prime-Air.png,Witchhunt,,Witchhunt.png,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - A46",,,,,,,,,,,,,,
Big common lightning spell,Common Air Spell,Shower of Sparks,Strategic,Spell,Destruction,Air,4,2,Shower of Sparks deals 20 damage to target unit.,,,,,,A,47,Common,0,dedication_Air_2.png,Common.png,frame_Spell_Air.psd,A47,12,012-Prime-Air.png,Witchhunt,,Witchhunt.png,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - A47",,,,,,,,,,,,,4,4
Move target unit that failed an attack this turn 1 space.,Common Air Strategy,Abysmal Failure,Tactical,Spell,Negation,Air,4,1,Move target enemy unit that failed an attack this turn one space.,,,,,"§§^""Let them come! When the last arrow clatters and the din of battle has faded, we will still be here, and they will be gone! Let them come!""§Ñ Erenai, Exploiter of the Fragile^",A,48,Common,0,dedication_Air_1.png,Common.png,frame_tactical_Spell_Air.psd,A48,53,053-Prime-Air.png,Witchhunt,,Witchhunt.png,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - A48",,,,,,,,,,,,,,
